dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus,7,msobsdr3,0,213.564,0.648,0.566,0.566,21|38|55|70|87|102|119,1|1|1|1|1|1|1
ghisaconus,8,msobsdr3,0,214.462,0.677,0.607,0.607,13|28|33|50|62|77|89|110,1|1|1|1|1|1|1|1
ghisaconus,9,msobsdr3,0,227.414,0.678,0.6,0.6,12|26|31|46|53|65|78|94|113,1|1|1|1|1|1|1|1|1
ghisaconus,10,msobsdr3,0,220.749,0.68,0.603,0.603,10|21|29|37|49|57|73|80|98|114,1|1|1|1|1|1|1|1|1|1
ghisaconus,11,msobsdr3,0,218.86,0.709,0.626,0.626,10|17|28|32|45|57|62|75|83|100|115,1|1|1|1|1|1|1|1|1|1|1
ghisaconus,12,msobsdr3,0,223.882,0.711,0.648,0.648,17|27|36|47|57|66|76|89|96|107|117|126,1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,13,msobsdr3,0,227.312,0.7,0.638,0.638,16|23|33|41|54|62|71|82|91|98|108|117|126,1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,14,msobsdr3,0,230.362,0.722,0.639,0.639,8|15|26|29|32|40|50|56|63|76|81|92|104|119,1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,15,msobsdr3,0,230.57,0.728,0.649,0.649,13|21|29|39|45|56|62|70|80|87|93|102|109|118|126,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,16,msobsdr3,0,231.107,0.724,0.647,0.647,13|21|28|38|44|53|61|67|76|83|90|98|106|112|120|127,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,17,msobsdr3,0,235.373,0.727,0.658,0.658,13|18|27|32|43|47|56|62|71|77|84|91|97|107|111|120|127,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,18,msobsdr3,0,240.288,0.735,0.659,0.659,7|11|16|24|28|31|35|42|48|53|60|68|76|81|90|101|110|123,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,19,msobsdr3,0,240.414,0.732,0.656,0.656,12|17|25|30|39|44|51|58|62|70|76|83|90|96|103|109|116|121|128,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
